anno;numero;data;oggetto;link
2004;2151;01.09.2004;Rotatoria nuova viabilità in via A.Papi via G.Guinizelli via G.Borselli;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2151
2004;2150;01.09.2004;Apertura nuova strada via G.Borselli;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2150
2004;2136;01.09.2004;Rotatoria nuova viabilità in via L.V.Beethoven, via G.Borselli via Sulla gora di Grignano;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2136
2004;3029;01.12.2004;Nuova viabilità in via G.Guinizelli;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=3029
2004;2004;02.08.2004;Pulizia di fondo della sede stradale in varie Vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2004
2004;2003;02.08.2004;PULIZIA DI FONDO DELLA SEDE STRADALE IN VARIE VIE;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2003
2004;2962;02.12.2004;Divieto di sosta in via Grancona per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2962
2004;2960;03.12.2004;Divieto di sosta in via Telemaco Signorini per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2960
2004;2958;03.12.2004;Divieto di sosta in via di Gello per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2958
2004;3216;04.02.2005;Divieto di sosta in varie vie per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=3216
2004;3215;04.02.2005;Divieto di sosta in varie vie per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=3215
2004;3214;04.02.2005;Divieto di sosta in piazzale Caduti di Nassirya per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=3214
2004;2703;04.11.2004;Collocazione di dissuasori di sosta in Varie Vie del territorio;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2703
2004;1732;05.07.2004;Chiusura e Divieto in Piazza Mercato nuovo in occasione del mercato settimanale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=1732
2004;1719;05.07.2004;Regolamentazione della circolazione e sosta di piazza dei Macelli;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=1719
2004;2484;05.10.2004;Nuova viabilità in via T.Meroni;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2484
2004;2464;05.10.2004;Pulizia di fondo della sede stradale in varie Vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2464
2004;2463;05.10.2004;Pulizia di fondo della sede stradale in varie Vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2463
2004;2460;07.10.2004;Pulizia di fondo della sede stradale in Via Don Giulio Facibeni;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2460
2004;2455;07.10.2004;Pulizia di fondo della sede stradale in varie Vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2455
2004;3080;09.12.2004;Istituzione di parcheggio a pagamento in Piazzale Generale Giuseppe Castellano;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=3080
2004;2054;12.08.2004;Pulizia di fondo della sede stradale in via F.lli Casotti;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2054
2004;2032;12.08.2004;Pulizia di fondo della sede stradale in varie vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2032
2004;2031;12.08.2004;Pulizia di fondo della sede stradale in varie vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2031
2004;2030;12.08.2004;Pulizia di fondo della sede stradale in varie vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2030
2004;2029;12.08.2004;Pulizia di fondo della sede stradale in varie vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2029
2004;2028;12.08.2004;Pulizia di fondo della sede stradale in varie vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2028
2004;2027;12.08.2004;Pulizia di fondo della sede stradale in varie vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2027
